date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:37	51169/51169	---M--	200	added ('OK')	image/jpeg	etag:%22c7e1-58e7dbcdaebed%22	http://axilthemes.com/demo/template/papr/assets/images/trending-stories/trending-stories-3.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/trending-stories/trending-stories-3.jpg	(from http://axilthemes.com/demo/template/papr/)
10:32:38	190801/190801	---M--	200	added ('OK')	image/jpeg	etag:%222e951-58e6902a039a9%22	http://axilthemes.com/demo/template/papr/assets/images/top-stories/top-stories-3.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/top-stories/top-stories-3.jpg	(from http://axilthemes.com/demo/template/papr/)
10:32:40	86956/86956	---M--	200	added ('OK')	image/jpeg	etag:%22153ac-58e7dbcdaebed%22	http://axilthemes.com/demo/template/papr/assets/images/trending-stories/trending-stories-2.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/trending-stories/trending-stories-2.jpg	(from http://axilthemes.com/demo/template/papr/)
10:32:50	52491/52491	---M--	200	added ('OK')	image/jpeg	etag:%22cd0b-58e7dbcdaebed%22	http://axilthemes.com/demo/template/papr/assets/images/trending-stories/trending-stories-5.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/trending-stories/trending-stories-5.jpg	(from http://axilthemes.com/demo/template/papr/)
10:32:53	446436/446436	---M--	200	added ('OK')	image/jpeg	etag:%226cfe4-58e5ae75a4a13%22	http://axilthemes.com/demo/template/papr/assets/images/top-stories/top-stories-1.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/top-stories/top-stories-1.jpg	(from http://axilthemes.com/demo/template/papr/)
10:32:53	58367/58367	---M--	200	added ('OK')	image/jpeg	etag:%22e3ff-58e7dbcdaebed%22	http://axilthemes.com/demo/template/papr/assets/images/trending-stories/trending-stories-6.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/trending-stories/trending-stories-6.jpg	(from http://axilthemes.com/demo/template/papr/)
10:32:54	84256/84256	---M--	200	added ('OK')	image/jpeg	etag:%2214920-58e7dbcdaebed%22	http://axilthemes.com/demo/template/papr/assets/images/trending-stories/trending-stories-4.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/trending-stories/trending-stories-4.jpg	(from http://axilthemes.com/demo/template/papr/)
10:32:58	29939/29939	---M--	200	added ('OK')	image/jpeg	etag:%2274f3-58d7cb2354d49%22	http://axilthemes.com/demo/template/papr/assets/images/video-post/video-post-1.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/video-post/video-post-1.jpg	(from http://axilthemes.com/demo/template/papr/)
10:33:01	20520/20520	---M--	200	added ('OK')	image/jpeg	etag:%225028-58d7cb2354d49%22	http://axilthemes.com/demo/template/papr/assets/images/video-post/video-post-2.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/video-post/video-post-2.jpg	(from http://axilthemes.com/demo/template/papr/)
10:33:03	19954/19954	---M--	200	added ('OK')	image/jpeg	etag:%224df2-58d7cb2354d49%22	http://axilthemes.com/demo/template/papr/assets/images/video-post/video-post-4.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/video-post/video-post-4.jpg	(from http://axilthemes.com/demo/template/papr/)
10:33:04	35330/35330	---M--	200	added ('OK')	image/jpeg	etag:%228a02-58d7cb2354d49%22	http://axilthemes.com/demo/template/papr/assets/images/video-post/video-post-3.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/video-post/video-post-3.jpg	(from http://axilthemes.com/demo/template/papr/)
10:33:17	89467/89467	---M--	200	added ('OK')	image/jpeg	etag:%2215d7b-58ed223610909%22	http://axilthemes.com/demo/template/papr/assets/images/clientbanner/clientbanner.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/clientbanner/clientbanner.jpg	(from http://axilthemes.com/demo/template/papr/)
10:33:20	89664/89664	---M--	200	added ('OK')	image/jpeg	etag:%2215e40-58e5ae75a3a73%22	http://axilthemes.com/demo/template/papr/assets/images/post/post-img-4.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/post/post-img-4.jpg	(from http://axilthemes.com/demo/template/papr/)
10:33:35	165047/165047	---M--	200	added ('OK')	image/jpeg	etag:%22284b7-58e5ae75a2ad3%22	http://axilthemes.com/demo/template/papr/assets/images/post/post-img-3.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/post/post-img-3.jpg	(from http://axilthemes.com/demo/template/papr/)
10:33:41	90583/90583	---M--	200	added ('OK')	image/jpeg	etag:%22161d7-58e5ae75a3a73%22	http://axilthemes.com/demo/template/papr/assets/images/post/post-img-6.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/post/post-img-6.jpg	(from http://axilthemes.com/demo/template/papr/)
10:33:44	130135/130135	---M--	200	added ('OK')	image/jpeg	etag:%221fc57-58e5ae75a3a73%22	http://axilthemes.com/demo/template/papr/assets/images/post/post-img-5.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/post/post-img-5.jpg	(from http://axilthemes.com/demo/template/papr/)
10:34:00	73691/73691	---M--	200	added ('OK')	image/jpeg	etag:%2211fdb-58e5ae75a3a73%22	http://axilthemes.com/demo/template/papr/assets/images/post/post-img-9.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/post/post-img-9.jpg	(from http://axilthemes.com/demo/template/papr/)
10:34:03	94654/94654	---M--	200	added ('OK')	image/jpeg	etag:%22171be-58e5ae75a3a73%22	http://axilthemes.com/demo/template/papr/assets/images/post/post-img-8.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/post/post-img-8.jpg	(from http://axilthemes.com/demo/template/papr/)
10:34:05	134740/134740	---M--	200	added ('OK')	image/jpeg	etag:%2220e54-58e5ae75a3a73%22	http://axilthemes.com/demo/template/papr/assets/images/post/post-img-7.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/post/post-img-7.jpg	(from http://axilthemes.com/demo/template/papr/)
10:34:22	115093/115093	---M--	200	added ('OK')	image/jpeg	etag:%221c195-58e6d3d8b48d7%22	http://axilthemes.com/demo/template/papr/assets/images/post/post-img-10.jpg	papr/papr/axilthemes.com/demo/template/papr/assets/images/post/post-img-10.jpg	(from http://axilthemes.com/demo/template/papr/)
10:34:24	91366/91366	---M--	200	added ('OK')	image/png	etag:%22164e6-58d68ebf5cebd%22	http://axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-1.png	papr/papr/axilthemes.com/demo/template/papr/assets/images/category-bg/category-bg-1.png	(from http://axilthemes.com/demo/template/papr/)
